Package                              Version     Build
------------------------------------ ----------- -----
accelerate                           1.12.0
ackermann-msgs                       2.0.2
action-msgs                          1.2.2
action-tutorials-interfaces          0.20.5
action-tutorials-py                  0.20.5
actionlib-msgs                       4.9.0
actuator-msgs                        0.0.1
aiohappyeyeballs                     2.6.1
aiohttp                              3.13.3
aiosignal                            1.4.0
ament-clang-format                   0.12.14
ament-cmake-test                     1.3.12
ament-copyright                      0.12.14
ament-cppcheck                       0.12.14
ament-cpplint                        0.12.14
ament-flake8                         0.12.14
ament-index-python                   1.4.0
ament-lint                           0.12.14
ament-lint-cmake                     0.12.14
ament-package                        0.14.1
ament-pep257                         0.12.14
ament-uncrustify                     0.12.14
ament-xmllint                        0.12.14
angles                               1.15.0
anyio                                4.12.1
apriltag-msgs                        2.0.1
async-timeout                        5.0.1
attrs                                25.4.0
bitsandbytes                         0.49.1
builtin-interfaces                   1.2.2
certifi                              2026.1.4
charset-normalizer                   3.4.4
cmeel                                0.57.3
cmeel-assimp                         5.4.3.1     0
cmeel-console-bridge                 1.0.2.3     0
cmeel-octomap                        1.10.0      5
cmeel-qhull                          8.0.2.1     1
cmeel-tinyxml2                       10.0.0      0
cmeel-zlib                           1.3.1       0
coal-library                         3.0.1       0
composition-interfaces               1.2.2
control-msgs                         4.8.0
controller-manager                   2.51.0
controller-manager-msgs              2.51.0
cut-cross-entropy                    25.1.1
cv-bridge                            3.2.1
cvxopt                               1.3.2
datasets                             4.3.0
demo-nodes-py                        0.20.5
diagnostic-msgs                      4.9.0
dill                                 0.4.0
docstring_parser                     0.17.0
domain-coordinator                   0.10.0
example-interfaces                   0.9.3
examples-rclpy-executors             0.15.4
examples-rclpy-minimal-action-client 0.15.4
examples-rclpy-minimal-action-server 0.15.4
examples-rclpy-minimal-client        0.15.4
examples-rclpy-minimal-publisher     0.15.4
examples-rclpy-minimal-service       0.15.4
examples-rclpy-minimal-subscriber    0.15.4
exceptiongroup                       1.3.1
filelock                             3.20.0
frozenlist                           1.8.0
fsspec                               2025.9.0
gazebo-model-attachment-plugin       1.0.3
gazebo-model-attachment-plugin-msgs  1.0.3
gazebo-msgs                          3.9.0
gazebo-video-monitor-interfaces      0.8.1
gazebo-video-monitor-utils           0.8.1
generate-parameter-library-py        0.5.0
geometry-msgs                        4.9.0
gmpy2                                2.2.2
gps-msgs                             2.1.1
graph-msgs                           0.2.0
h11                                  0.16.0
hf_transfer                          0.1.9
hf-xet                               1.2.0
httpcore                             1.0.9
httpx                                0.28.1
huggingface-hub                      0.36.0
idna                                 3.11
image-geometry                       3.2.1
interactive-markers                  2.3.2
Jinja2                               3.1.6
joint-state-publisher                2.4.0
joint-state-publisher-gui            2.4.0
laser-geometry                       2.4.0
launch                               1.0.10
launch-param-builder                 0.1.1
launch-ros                           0.19.10
launch-testing                       1.0.10
launch-testing-ros                   0.19.10
launch-xml                           1.0.10
launch-yaml                          1.0.10
lifecycle-msgs                       1.2.2
logging-demo                         0.20.5
map-msgs                             2.1.0
markdown-it-py                       4.0.0
MarkupSafe                           3.0.2
mdurl                                0.1.2
message-filters                      4.3.8
moveit-configs-utils                 2.5.9
moveit-msgs                          2.2.1
mpmath                               1.3.0
msgspec                              0.20.0
multidict                            6.7.0
multiprocess                         0.70.16
nav-msgs                             4.9.0
networkx                             3.4.2
numpy                                2.2.6
nvidia-cublas-cu12                   12.8.4.1
nvidia-cuda-cupti-cu12               12.8.90
nvidia-cuda-nvrtc-cu12               12.8.93
nvidia-cuda-runtime-cu12             12.8.90
nvidia-cudnn-cu12                    9.10.2.21
nvidia-cufft-cu12                    11.3.3.83
nvidia-cufile-cu12                   1.13.1.3
nvidia-curand-cu12                   10.3.9.90
nvidia-cusolver-cu12                 11.7.3.90
nvidia-cusparse-cu12                 12.5.8.93
nvidia-cusparselt-cu12               0.7.1
nvidia-nccl-cu12                     2.27.5
nvidia-nvjitlink-cu12                12.8.93
nvidia-nvshmem-cu12                  3.3.20
nvidia-nvtx-cu12                     12.8.90
object-recognition-msgs              2.0.0
octomap-msgs                         2.0.1
osrf-pycommon                        2.1.6
packaging                            25.0
pandas                               2.3.3
pcl-msgs                             1.0.0
peft                                 0.18.1
pendulum-msgs                        0.20.5
pillow                               12.1.0
pip                                  25.3
propcache                            0.4.1
protobuf                             6.33.4
psutil                               7.2.1
pyarrow                              22.0.0
Pygments                             2.19.2
python-dateutil                      2.9.0.post0
python-qt-binding                    1.1.2
pytz                                 2025.2
PyYAML                               6.0.3
qt-dotgraph                          2.2.4
qt-gui                               2.2.4
qt-gui-cpp                           2.2.4
qt-gui-py-common                     2.2.4
quality-of-service-demo-py           0.20.5
rcl-interfaces                       1.2.2
rclpy                                3.3.17
rcutils                              5.1.6
regex                                2026.1.15
requests                             2.32.5
resource-retriever                   3.1.3
rich                                 14.2.0
rmw-dds-common                       1.6.0
ros-gz-interfaces                    0.244.20
ros2action                           0.18.13
ros2bag                              0.15.15
ros2cli                              0.18.13
ros2component                        0.18.13
ros2controlcli                       2.51.0
ros2doctor                           0.18.13
ros2interface                        0.18.13
ros2launch                           0.19.10
ros2lifecycle                        0.18.13
ros2multicast                        0.18.13
ros2node                             0.18.13
ros2param                            0.18.13
ros2pkg                              0.18.13
ros2run                              0.18.13
ros2service                          0.18.13
ros2test                             0.4.0
ros2topic                            0.18.13
rosbag2-interfaces                   0.15.15
rosbag2-py                           0.15.15
rosgraph-msgs                        1.2.2
rosidl-adapter                       3.1.7
rosidl-cli                           3.1.7
rosidl-cmake                         3.1.7
rosidl-generator-c                   3.1.7
rosidl-generator-cpp                 3.1.7
rosidl-generator-py                  0.14.5
rosidl-parser                        3.1.7
rosidl-runtime-py                    0.9.3
rosidl-typesupport-c                 2.0.2
rosidl-typesupport-cpp               2.0.2
rosidl-typesupport-fastrtps-c        2.2.2
rosidl-typesupport-fastrtps-cpp      2.2.2
rosidl-typesupport-introspection-c   3.1.7
rosidl-typesupport-introspection-cpp 3.1.7
rpyutils                             0.2.1
rqt-action                           2.0.1
rqt-bag                              1.1.5
rqt-bag-plugins                      1.1.5
rqt-console                          2.0.3
rqt-graph                            1.3.1
rqt-gui                              1.1.7
rqt-gui-py                           1.1.7
rqt-msg                              1.2.0
rqt-plot                             1.1.5
rqt-publisher                        1.5.0
rqt-py-common                        1.1.7
rqt-py-console                       1.0.2
rqt-reconfigure                      1.1.2
rqt-service-caller                   1.0.5
rqt-shell                            1.0.2
rqt-srv                              1.0.3
rqt-topic                            1.5.0
safetensors                          0.7.0
scripts                              3.9.0
sensor-msgs                          4.9.0
sensor-msgs-py                       4.9.0
sentencepiece                        0.2.1
setuptools                           80.9.0
shape-msgs                           4.9.0
simulation-interfaces                1.1.0
six                                  1.17.0
srdfdom                              2.0.7
sros2                                0.10.7
statistics-msgs                      1.2.2
std-msgs                             4.9.0
std-srvs                             4.9.0
stereo-msgs                          4.9.0
sympy                                1.14.0
teleop-twist-keyboard                2.4.0
test-msgs                            1.2.2
tf2-geometry-msgs                    0.25.16
tf2-kdl                              0.25.16
tf2-msgs                             0.25.16
tf2-py                               0.25.16
tf2-ros-py                           0.25.16
tf2-sensor-msgs                      0.25.16
tf2-tools                            0.25.16
theora-image-transport               2.5.3
tokenizers                           0.22.2
tomli                                2.2.1
topic-monitor                        0.20.5
torch                                2.9.0
torchao                              0.15.0
torchaudio                           2.9.0
torchvision                          0.24.0
tqdm                                 4.67.1
trajectory-msgs                      4.9.0
transformers                         4.57.5
triton                               3.5.0
trl                                  0.12.0
turtlesim                            1.4.2
typeguard                            4.4.4
typing_extensions                    4.15.0
tyro                                 1.0.5
tzdata                               2025.3
unique-identifier-msgs               2.2.1
unsloth                              2026.1.2
unsloth_zoo                          2026.1.2
urdfdom-py                           1.2.1
urllib3                              2.6.3
uv                                   0.9.26
vision-msgs                          4.1.1
visualization-msgs                   4.9.0
wheel                                0.45.1
xacro                                2.0.13
xxhash                               3.6.0
yarl                                 1.22.0
