trial,env_name,success,planning_time_sec,attempts,total_num_satisfying
# rearrange 상태에서 transfer
1,rearrange,True,14.1918,1,781
2,transfer,True,59.1418,2,8
3,rearrange,False,34.7486,3,0
4,transfer,True,31.0665,1,18
5,rearrange,True,14.1354,1,779
6,transfer,True,30.1768,1,16
7,rearrange,True,14.5609,1,789
8,transfer,True,30.4824,1,49
9,transfer,True,56.7261,2,18
10,transfer,True,30.3318,1,45
11,transfer,True,31.1829,1,40
12,transfer,True,30.7607,1,31
13,transfer,True,31.1102,1,32
14,transfer,True,31.4737,1,36
15,rearrange,True,14.7604,1,762
16,transfer,True,58.4825,2,17
17,transfer,True,58.6458,2,32
18,transfer,True,29.2286,1,25
19,transfer,True,30.3487,1,34
20,transfer,True,30.1308,1,9
21,rearrange,False,35.685,3,0
22,transfer,True,32.7475,1,43
23,transfer,True,30.6119,1,28
24,transfer,True,30.434,1,15
25,transfer,True,56.7495,2,50
26,transfer,True,32.0608,1,25
27,transfer,True,56.9465,2,9
28,transfer,True,31.0322,1,12
29,transfer,True,83.4641,3,4
30,transfer,False,81.5275,3,0



31,transfer,True,31.1268,1,6
32,transfer,True,55.892,2,37
33,transfer,True,78.3812,3,28
34,transfer,True,30.8566,1,35
35,transfer,True,30.8505,1,53
36,transfer,True,30.2134,1,34
37,transfer,True,30.3163,1,24
38,transfer,True,80.2435,3,24
39,transfer,True,30.1278,1,47
40,transfer,True,30.0612,1,36
41,transfer,True,30.1753,1,34
42,transfer,True,55.2505,2,51
43,transfer,True,30.1774,1,33
44,transfer,True,30.1149,1,15
45,transfer,True,30.1642,1,16
46,transfer,True,30.1778,1,17
47,transfer,True,30.33,1,26
48,transfer,True,30.2447,1,18
49,transfer,True,30.2157,1,15
50,transfer,True,29.9326,1,28
51,transfer,True,55.1266,2,12
52,transfer,True,30.0665,1,5
53,transfer,True,55.7104,2,10
54,transfer,True,30.1641,1,22
55,transfer,True,30.2476,1,33
56,transfer,True,55.5803,2,8
57,transfer,True,55.2264,2,18
58,transfer,True,55.5302,2,33
59,transfer,True,30.2982,1,38
60,transfer,True,30.264,1,5
61,transfer,True,81.2112,3,15
62,transfer,True,81.0972,3,11
63,transfer,True,30.1276,1,14
64,transfer,True,56.003,2,39
65,transfer,True,55.3123,2,20
66,transfer,True,30.081,1,17
67,transfer,True,80.8334,3,25
68,transfer,True,55.8154,2,14
69,transfer,True,30.2338,1,24
70,transfer,True,30.2969,1,22
71,transfer,True,30.2474,1,44
72,transfer,False,78.6426,3,0
73,transfer,True,55.3464,2,6
74,transfer,True,30.0089,1,22
75,transfer,True,55.0158,2,61
76,transfer,True,55.6755,2,34
77,transfer,False,81.3989,3,0
78,transfer,True,30.1981,1,11
79,transfer,True,30.2461,1,40
80,transfer,True,55.3591,2,47
81,transfer,True,30.1479,1,25
82,transfer,True,55.2951,2,44
83,transfer,True,30.0788,1,44
84,transfer,True,30.3641,1,26
85,transfer,True,30.1947,1,19
86,transfer,True,30.3293,1,18
87,transfer,True,30.3299,1,33
88,transfer,True,30.1782,1,23
89,transfer,True,30.1785,1,36
90,transfer,True,30.0311,1,34
91,transfer,True,81.1785,3,8
92,transfer,True,30.0157,1,11
93,transfer,True,55.0967,2,18
94,transfer,True,30.2313,1,15
95,transfer,True,81.5772,3,10
96,transfer,True,55.8444,2,25
97,transfer,True,30.0665,1,17
98,transfer,True,55.6097,2,37
99,transfer,True,30.1666,1,39
100,transfer,True,55.8149,2,41
101,transfer,True,30.081,1,17
102,transfer,True,30.5503,1,28
103,transfer,True,54.7465,2,14
104,transfer,True,55.5636,2,26
105,transfer,True,29.9805,1,16
106,transfer,True,55.4513,2,14
107,transfer,True,54.3272,2,23
108,transfer,True,30.1644,1,9
109,transfer,True,80.9828,3,23
110,transfer,True,30.1631,1,35
111,transfer,True,55.229,2,22
112,transfer,True,30.182,1,12
113,transfer,True,30.2783,1,8
114,transfer,True,30.4263,1,30
115,transfer,True,30.2805,1,24
116,transfer,True,30.3487,1,56
117,transfer,True,55.58,2,34
118,transfer,True,30.1955,1,10
119,transfer,True,30.0942,1,26
120,transfer,True,30.432,1,20
121,transfer,True,55.7938,2,15
122,transfer,True,30.1442,1,31
123,transfer,True,30.1618,1,20
124,transfer,True,80.6287,3,37

# rearrange + transfer 상태에서 stir
1,stir,True,26.3616,1,676
2,stir,True,26.3466,1,454
3,stir,True,26.3615,1,753
4,stir,True,27.2101,1,642
5,stir,True,27.3255,1,742
6,stir,True,26.3456,1,686
7,stir,True,26.4759,1,376
8,stir,True,26.2465,1,734
9,stir,True,25.7335,1,467
10,stir,True,26.447,1,441
11,stir,True,25.0952,1,323
12,stir,True,26.2484,1,600
13,stir,True,26.1621,1,556
14,stir,True,26.5977,1,480
15,stir,True,25.7617,1,723
16,stir,True,26.3651,1,445
17,stir,True,26.3469,1,633
18,stir,True,26.3633,1,760
19,stir,True,24.0448,1,688
20,stir,True,26.2764,1,672
21,stir,True,24.3328,1,577
22,stir,True,23.8806,1,796
23,stir,True,26.2622,1,697
24,stir,True,26.3615,1,655
25,stir,True,26.3601,1,628
26,stir,True,25.0809,1,517
27,stir,True,25.9803,1,580
28,stir,True,26.0495,1,584
29,stir,True,26.0832,1,722
30,stir,True,26.0812,1,761
31,stir,True,25.9503,1,678
32,stir,True,26.0142,1,595
33,stir,True,26.0296,1,722
34,stir,True,26.0821,1,734
35,stir,True,26.0979,1,423
36,stir,True,24.7826,1,380
37,stir,True,26.0644,1,593
38,stir,True,25.0946,1,685
39,stir,True,26.0451,1,599
40,stir,True,26.0116,1,343
41,stir,True,24.8139,1,611
42,stir,True,25.9801,1,723
43,stir,True,26.0142,1,417
44,stir,True,25.7587,1,712
45,stir,True,25.3489,1,764
46,stir,True,26.0132,1,433
47,stir,True,26.1161,1,774
48,stir,True,26.1408,1,762
49,stir,True,23.581,1,642
50,stir,True,26.1258,1,562
51,stir,True,23.5676,1,390
52,stir,True,26.1506,1,685
53,stir,True,24.8814,1,735
54,stir,True,23.6341,1,730
55,stir,True,25.2843,1,732
56,stir,True,26.1426,1,258
57,stir,True,26.0986,1,425
58,stir,True,26.1974,1,710
59,stir,True,24.1474,1,674
60,stir,True,26.1284,1,472
61,stir,True,26.0637,1,768
62,stir,True,26.1612,1,20
63,stir,True,26.0449,1,402
64,stir,True,26.1298,1,599
65,stir,True,26.0312,1,347
66,stir,True,26.1428,1,630
67,stir,True,26.1428,1,543
68,stir,True,26.1498,1,510
69,stir,True,25.9815,1,570
70,stir,True,26.0938,1,611
71,stir,True,26.1004,1,640
72,stir,True,25.0141,1,758
73,stir,True,25.0144,1,472
74,stir,True,26.2516,1,626
75,stir,True,25.564,1,452
76,stir,True,25.481,1,734
77,stir,True,24.4826,1,522
78,stir,True,26.1313,1,741
79,stir,True,26.0144,1,709
80,stir,True,25.1318,1,673
81,stir,True,26.0767,1,590
82,stir,True,26.0265,1,645
83,stir,True,26.097,1,788
84,stir,True,24.9922,1,752
85,stir,True,26.0259,1,751
86,stir,True,26.0144,1,575
87,stir,True,25.1845,1,78
88,stir,True,25.1994,1,695
89,stir,True,26.1136,1,612
90,stir,True,26.1299,1,729
91,stir,True,24.734,1,779
92,stir,True,26.0619,1,454
93,stir,True,26.0149,1,595
94,stir,True,26.11,1,648
95,stir,True,25.9752,1,587
96,stir,True,23.9829,1,697
97,stir,True,26.0634,1,623
98,stir,True,24.5117,1,703
99,stir,True,26.0818,1,4
100,stir,True,26.0123,1,625
101,stir,True,26.031,1,732
102,stir,True,26.0961,1,688
103,stir,True,26.1635,1,715
104,stir,True,26.0089,1,703
105,stir,True,26.0583,1,675
106,stir,True,25.1172,1,722
107,stir,True,26.1465,1,773
108,stir,True,25.2148,1,734
109,stir,True,23.6008,1,766
110,stir,True,26.9823,1,643
111,stir,True,25.8003,1,733
112,stir,True,25.9098,1,724
113,stir,True,24.963,1,501
114,stir,True,26.066,1,694
115,stir,True,25.9482,1,665
116,stir,True,26.0665,1,601
117,stir,True,26.1273,1,102
118,stir,True,26.217,1,435
119,stir,True,25.9349,1,240
120,stir,True,25.5313,1,673
121,stir,True,26.0949,1,686
122,stir,True,24.9489,1,765
123,stir,True,26.1163,1,761
124,stir,True,25.2348,1,426
125,stir,True,26.0177,1,497
126,stir,True,26.064,1,641
127,stir,True,26.0615,1,655
128,stir,True,26.101,1,743
129,stir,True,26.067,1,608
130,stir,True,26.0924,1,668
131,stir,True,25.9987,1,666
132,stir,True,26.1293,1,662
133,stir,True,26.0973,1,481
134,stir,True,26.2085,1,748
135,stir,True,26.0807,1,757
136,stir,True,26.0985,1,84
137,stir,True,26.0595,1,757
138,stir,True,26.0642,1,764
139,stir,True,25.4009,1,566
140,stir,True,26.0667,1,642
141,stir,True,26.0486,1,700
142,stir,True,26.1167,1,759
143,stir,True,26.1337,1,554
144,stir,True,26.0801,1,704
