timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy,poured,final_tilt_deg,final_xy,placed_upright,placed_in_goal,task_success,target_obj,goal_err_mm,aux_check,pour_peak_tilt_deg,pour_lip_err_mm,pour_start_lip_err_mm,pour_lip_height_mm
2026-09-13T13:35:10,0,move,fr5_vgc10,True,26.53,708,True,2.11,,0.5007;0.1977,0.5273;0.3632,False,0.00,0.1596;-0.5935,True,True,True,box,11.6,,,,,
2026-09-13T13:36:42,1,move,fr5_vgc10,True,25.62,691,True,2.15,,0.5228;0.1657,0.4366;0.3570,False,0.00,0.1261;-0.6003,True,True,True,box,23.9,,,,,
2026-09-13T13:38:16,2,move,fr5_vgc10,True,29.02,740,True,1.60,,0.4588;0.1303,0.4996;0.3379,False,0.00,0.1527;-0.5848,True,True,True,box,15.4,,,,,
2026-09-13T13:39:50,3,move,fr5_vgc10,True,26.06,710,True,2.29,,0.4879;0.1407,0.4452;0.3208,False,0.00,0.1436;-0.6080,True,True,True,box,10.3,,,,,
2026-09-13T13:41:22,4,move,fr5_vgc10,True,26.48,711,True,2.43,,0.5202;0.1422,0.4882;0.3719,False,0.00,0.1452;-0.6049,True,True,True,box,6.8,,,,,
2026-09-13T13:42:56,5,move,fr5_vgc10,True,27.56,703,True,2.19,,0.4808;0.1293,0.5337;0.3469,False,0.00,0.1484;-0.6095,True,True,True,box,9.6,,,,,
2026-09-13T13:44:28,6,move,fr5_vgc10,True,25.81,723,True,2.08,,0.5074;0.1577,0.4461;0.2868,False,0.00,0.1548;-0.5851,True,True,True,box,15.7,,,,,
2026-09-13T13:45:59,7,move,fr5_vgc10,True,26.91,740,True,1.15,,0.4405;0.2069,0.4806;0.3120,False,0.00,0.1565;-0.6086,True,True,True,box,10.8,,,,,
2026-09-13T13:47:30,8,move,fr5_vgc10,True,26.45,693,True,2.29,,0.4838;0.1620,0.4817;0.3058,False,0.00,0.1423;-0.6109,True,True,True,box,13.3,,,,,
2026-09-13T13:49:02,9,move,fr5_vgc10,True,25.13,677,True,1.67,,0.5260;0.2166,0.4776;0.3302,False,0.00,0.1419;-0.6022,True,True,True,box,8.4,,,,,
