timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy,poured,final_tilt_deg,final_xy,placed_upright,placed_in_goal,task_success,target_obj,goal_err_mm,aux_check,pour_peak_tilt_deg,pour_lip_err_mm,pour_start_lip_err_mm,pour_lip_height_mm
2026-09-13T16:51:39,0,stir,fr5_dh3,True,40.52,730,True,4.89,,0.5007;0.1977,0.5273;0.3632,False,0.00,-0.1745;0.5937,True,True,True,flask,4.7,"magnet_in_vessel=True(dxy=4mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:53:58,1,stir,fr5_dh3,True,97.23,759,True,5.19,,0.5228;0.1657,0.4366;0.3570,False,0.02,-0.1813;0.5745,True,True,True,flask,2.4,"magnet_in_vessel=True(dxy=2mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:57:10,2,stir,fr5_dh3,True,46.50,670,True,4.14,,0.4588;0.1303,0.4996;0.3379,False,0.01,-0.1552;0.5582,True,True,True,flask,11.9,"magnet_in_vessel=True(dxy=8mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T16:59:35,3,stir,fr5_dh3,True,40.59,616,True,5.13,,0.4879;0.1407,0.4452;0.3208,False,0.01,-0.1305;0.5799,True,True,True,flask,0.6,"magnet_in_vessel=True(dxy=1mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T17:01:46,4,stir,fr5_dh3,True,37.80,840,True,4.97,,0.5202;0.1422,0.4882;0.3719,False,0.01,-0.1800;0.6114,True,True,True,flask,2.2,"magnet_in_vessel=True(dxy=6mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T17:03:54,5,stir,fr5_dh3,True,43.66,586,True,4.04,,0.4808;0.1293,0.5337;0.3469,False,0.00,-0.1319;0.5584,True,True,True,flask,2.3,"magnet_in_vessel=True(dxy=5mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T17:06:05,6,stir,fr5_dh3,True,35.70,813,True,5.19,,0.5074;0.1577,0.4461;0.2868,False,0.02,-0.1198;0.5842,True,True,True,flask,10.2,"magnet_in_vessel=True(dxy=10mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T17:08:09,7,stir,fr5_dh3,True,41.87,566,True,5.83,,0.4405;0.2069,0.4806;0.3120,False,0.01,-0.1232;0.6553,True,True,True,flask,15.9,"magnet_in_vessel=True(dxy=15mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T17:10:22,8,stir,fr5_dh3,True,41.76,704,True,3.05,,0.4838;0.1620,0.4817;0.3058,False,0.01,-0.1310;0.6038,True,True,True,flask,13.8,"magnet_in_vessel=True(dxy=11mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T17:12:33,9,stir,fr5_dh3,True,40.83,657,True,3.84,,0.5260;0.2166,0.4776;0.3302,False,0.02,-0.1674;0.6224,True,True,True,flask,3.2,"magnet_in_vessel=True(dxy=8mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T17:14:43,10,stir,fr5_dh3,True,41.42,618,True,2.30,,0.5089;0.2089,0.5295;0.3642,False,0.01,-0.1871;0.6412,True,True,True,flask,1.1,"magnet_in_vessel=True(dxy=1mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T17:16:56,11,stir,fr5_dh3,True,40.69,637,True,3.43,,0.4470;0.1377,0.4960;0.3186,False,0.01,-0.1200;0.6039,True,True,True,flask,2.0,"magnet_in_vessel=True(dxy=3mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T17:19:08,12,stir,fr5_dh3,True,38.48,663,True,1.62,,0.5070;0.1363,0.5196;0.2819,False,0.01,-0.1777;0.5712,True,True,True,flask,4.2,"magnet_in_vessel=True(dxy=5mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T17:21:20,13,stir,fr5_dh3,True,36.23,710,True,2.37,,0.5014;0.1250,0.5323;0.3103,False,0.02,-0.1167;0.5993,True,True,True,flask,2.0,"magnet_in_vessel=True(dxy=1mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T17:23:22,14,stir,fr5_dh3,True,39.92,700,True,3.51,,0.5162;0.1964,0.4911;0.3563,False,0.01,-0.1041;0.5809,True,True,True,flask,1.6,"magnet_in_vessel=True(dxy=7mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T17:25:33,15,stir,fr5_dh3,True,38.09,722,True,5.02,,0.5119;0.1593,0.5314;0.3598,False,0.01,-0.1539;0.6408,True,True,True,flask,8.2,"magnet_in_vessel=True(dxy=4mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T17:27:38,16,stir,fr5_dh3,True,83.65,822,True,1.57,,0.5274;0.2102,0.5030;0.3775,False,0.00,-0.1443;0.5917,True,True,True,flask,1.0,"magnet_in_vessel=True(dxy=7mm,z=0.1129,mouth=0.2124)",,,,
2026-09-13T17:30:32,17,stir,fr5_dh3,False,110.15,0,False,,plan_no_satisfying,0.4828;0.1859,0.4354;0.3071,False,,,False,False,False,,,,,,,
