timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy,poured,final_tilt_deg,final_xy,placed_upright,placed_in_goal,task_success,target_obj,goal_err_mm,aux_check,pour_peak_tilt_deg,pour_lip_err_mm,pour_start_lip_err_mm,pour_lip_height_mm
2026-09-12T01:56:02,0,transfer,fr5_ag95,True,60.03,476,True,5.07,,0.5007;0.1977,0.5273;0.3632,True,0.00,0.3597;-0.3664,True,True,True,beaker,19.1,,60.03,17.0,15.5,59.2
2026-09-12T01:58:27,1,transfer,fr5_ag95,True,58.77,605,True,3.25,,0.5228;0.1657,0.4366;0.3570,True,0.00,0.3581;-0.3565,True,True,True,beaker,10.4,,48.56,49.6,46.0,153.0
2026-09-12T02:00:50,2,transfer,fr5_ag95,True,68.98,421,True,4.21,,0.4588;0.1303,0.4996;0.3379,True,0.00,0.3439;-0.3377,True,True,True,beaker,13.7,,25.44,28.5,40.6,176.0
2026-09-12T02:03:17,3,transfer,fr5_ag95,True,59.49,482,True,5.38,,0.4879;0.1407,0.4452;0.3208,True,0.00,0.3611;-0.3467,True,True,True,beaker,11.6,,37.22,44.3,56.0,167.6
2026-09-12T02:05:42,4,transfer,fr5_ag95,True,60.51,507,True,6.28,,0.5202;0.1422,0.4882;0.3719,True,0.00,0.3430;-0.3395,True,True,True,beaker,12.7,,55.93,18.4,53.5,87.2
2026-09-12T02:08:03,5,transfer,fr5_ag95,True,128.34,378,True,2.83,,0.4808;0.1293,0.5337;0.3469,True,0.00,0.3438;-0.3427,True,True,True,beaker,9.6,,59.88,12.1,14.5,56.5
2026-09-12T02:11:36,6,transfer,fr5_ag95,True,58.18,564,True,7.12,,0.5074;0.1577,0.4461;0.2868,True,0.00,0.3596;-0.3550,True,True,True,beaker,10.8,,38.13,20.5,73.1,150.1
2026-09-12T02:13:53,7,transfer,fr5_ag95,True,61.08,322,True,4.47,,0.4405;0.2069,0.4806;0.3120,True,0.00,0.3341;-0.3533,True,True,True,beaker,16.2,,60.17,4.9,27.4,67.1
2026-09-12T02:16:15,8,transfer,fr5_ag95,True,62.02,231,True,11.79,,0.4838;0.1620,0.4817;0.3058,True,0.00,0.3601;-0.3461,True,True,True,beaker,10.8,,59.10,20.0,10.5,74.5
2026-09-12T02:18:44,9,transfer,fr5_ag95,True,59.69,349,True,3.28,,0.5260;0.2166,0.4776;0.3302,True,0.00,0.3498;-0.3489,True,True,True,beaker,1.1,,60.35,11.7,20.4,63.8
2026-09-12T02:21:01,10,transfer,fr5_ag95,True,59.34,337,True,6.06,,0.5089;0.2089,0.5295;0.3642,True,0.00,0.3639;-0.3339,True,True,True,beaker,21.3,,57.00,17.4,53.2,77.0
2026-09-12T02:23:20,11,transfer,fr5_ag95,True,60.86,528,True,4.01,,0.4470;0.1377,0.4960;0.3186,True,0.00,0.3574;-0.3564,True,True,True,beaker,9.8,,60.35,4.8,24.1,71.2
2026-09-12T02:25:37,12,transfer,fr5_ag95,True,58.34,303,True,1.91,,0.5070;0.1363,0.5196;0.2819,True,0.00,0.3581;-0.3578,True,True,True,beaker,11.2,,60.05,15.2,32.8,56.9
2026-09-12T02:27:59,13,transfer,fr5_ag95,True,59.49,476,True,3.56,,0.5014;0.1250,0.5323;0.3103,True,0.00,0.3432;-0.3484,True,True,True,beaker,7.0,,43.12,11.1,53.4,140.2
2026-09-12T02:30:16,14,transfer,fr5_ag95,True,58.99,592,True,3.02,,0.5162;0.1964,0.4911;0.3563,True,0.00,0.3406;-0.3423,True,True,True,beaker,12.1,,41.81,43.1,39.9,159.8
2026-09-12T02:32:40,15,transfer,fr5_ag95,True,58.81,370,True,5.06,,0.5119;0.1593,0.5314;0.3598,True,0.00,0.3521;-0.3453,True,True,True,beaker,5.1,,59.13,14.8,33.9,68.8
2026-09-12T02:35:00,16,transfer,fr5_ag95,True,60.10,527,True,3.92,,0.5274;0.2102,0.5030;0.3775,True,0.00,0.3383;-0.3587,True,True,True,beaker,14.6,,59.91,19.2,23.9,65.8
2026-09-12T02:37:19,17,transfer,fr5_ag95,True,58.48,310,True,2.19,,0.4828;0.1859,0.4354;0.3071,True,0.00,0.3415;-0.3412,True,True,True,beaker,12.3,,61.57,24.8,53.5,77.3
2026-09-12T02:39:38,18,transfer,fr5_ag95,True,64.11,300,True,1.89,,0.5044;0.1824,0.4461;0.3130,True,0.00,0.3584;-0.3564,True,True,True,beaker,10.6,,46.54,20.2,57.9,120.9
2026-09-12T02:42:05,19,transfer,fr5_ag95,True,193.23,452,True,4.34,,0.5181;0.1786,0.5255;0.3745,True,0.00,0.3463;-0.3617,True,True,True,beaker,12.3,,58.31,21.6,51.4,79.3
2026-09-12T02:46:36,20,transfer,fr5_ag95,True,123.85,274,True,12.49,,0.4499;0.2234,0.4787;0.3457,True,0.00,0.3591;-0.3428,True,True,True,beaker,11.6,,59.03,15.8,32.2,70.5
2026-09-12T02:50:01,21,transfer,fr5_ag95,True,135.93,594,True,5.50,,0.4823;0.1360,0.5014;0.3014,True,0.00,0.3635;-0.3363,True,True,True,beaker,19.2,,58.13,8.6,44.8,61.7
2026-09-12T02:53:44,22,transfer,fr5_ag95,True,182.94,483,True,4.00,,0.5251;0.2085,0.4894;0.3424,True,0.00,0.3545;-0.3539,True,True,True,beaker,5.9,,57.06,11.7,53.3,75.7
2026-09-12T02:58:07,23,transfer,fr5_ag95,True,59.80,456,True,3.94,,0.4602;0.1466,0.4809;0.3232,True,0.00,0.3515;-0.3439,True,True,True,beaker,6.3,,58.86,12.5,20.4,70.9
2026-09-12T03:00:23,24,transfer,fr5_ag95,True,64.34,361,True,5.88,,0.5274;0.1334,0.5159;0.3529,True,0.00,0.3358;-0.3352,True,True,True,beaker,20.5,,57.15,14.5,48.9,82.7
2026-09-12T03:02:49,25,transfer,fr5_ag95,True,66.54,536,True,4.31,,0.5391;0.2034,0.4564;0.3583,True,0.00,0.3590;-0.3381,True,True,True,beaker,14.9,,57.91,5.7,32.5,79.7
