timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy,poured,final_tilt_deg,final_xy,placed_upright,placed_in_goal,task_success,target_obj,goal_err_mm,aux_check,pour_peak_tilt_deg,pour_lip_err_mm,pour_start_lip_err_mm,pour_lip_height_mm
2026-09-12T03:16:52,0,transfer,fr5_ag95,False,183.01,0,False,,plan_no_satisfying,0.5007;0.1977,0.5273;0.3632,False,,,False,False,False,,,,,,,
2026-09-12T03:20:34,1,transfer,fr5_ag95,True,121.14,490,True,4.55,,0.5228;0.1657,0.4366;0.3570,True,0.00,0.3546;-0.3406,True,True,True,beaker,10.5,,58.50,30.1,7.3,79.6
2026-09-12T03:24:06,2,transfer,fr5_ag95,True,68.48,584,True,4.91,,0.4588;0.1303,0.4996;0.3379,True,0.00,0.3579;-0.3407,True,True,True,beaker,12.2,,60.89,26.0,26.3,60.1
2026-09-12T03:26:40,3,transfer,fr5_ag95,True,59.99,552,True,3.18,,0.4879;0.1407,0.4452;0.3208,True,0.00,0.3577;-0.3402,True,True,True,beaker,12.5,,51.63,8.9,53.8,99.4
2026-09-12T03:28:59,4,transfer,fr5_ag95,True,60.59,485,True,5.68,,0.5202;0.1422,0.4882;0.3719,True,0.00,0.3594;-0.3555,True,True,True,beaker,10.9,,60.95,29.0,20.1,75.4
2026-09-12T03:31:20,5,transfer,fr5_ag95,True,64.14,494,True,3.18,,0.4808;0.1293,0.5337;0.3469,True,0.00,0.3583;-0.3584,True,True,True,beaker,11.9,,56.65,8.4,41.2,70.9
2026-09-12T03:33:48,6,transfer,fr5_ag95,True,119.66,525,True,2.56,,0.5074;0.1577,0.4461;0.2868,True,0.00,0.3533;-0.3384,True,True,True,beaker,12.0,,42.12,8.5,48.1,102.2
2026-09-12T03:37:09,7,transfer,fr5_ag95,True,61.26,261,True,5.14,,0.4405;0.2069,0.4806;0.3120,True,0.00,0.3583;-0.3557,True,True,True,beaker,10.1,,54.47,40.1,39.9,151.3
2026-09-12T03:39:38,8,transfer,fr5_ag95,True,61.87,304,True,3.13,,0.4838;0.1620,0.4817;0.3058,True,0.00,0.3436;-0.3361,True,True,True,beaker,15.3,,51.52,43.0,44.9,148.9
2026-09-12T03:48:40,9,transfer,fr5_ag95,True,59.92,280,True,4.61,,0.5260;0.2166,0.4776;0.3302,True,0.00,0.3522;-0.3397,True,True,True,beaker,10.5,,59.20,14.6,26.7,71.8
