timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy,poured,final_tilt_deg,final_xy,placed_upright,placed_in_goal,task_success,target_obj,goal_err_mm,aux_check,pour_peak_tilt_deg,pour_lip_err_mm,pour_start_lip_err_mm,pour_lip_height_mm
2026-09-12T07:54:08,0,transfer,fr5_ag95,False,162.73,0,False,,plan_no_satisfying,0.5007;0.1977,0.5273;0.3632,False,,,False,False,False,,,,,,,
2026-09-12T07:58:13,1,transfer,fr5_ag95,True,51.96,622,True,3.27,,0.5228;0.1657,0.4366;0.3570,True,0.00,0.3376;-0.3381,True,True,True,beaker,17.2,,44.23,36.2,31.9,165.5
2026-09-12T08:01:17,2,transfer,fr5_ag95,True,62.34,565,True,4.72,"task_incomplete:beaker_not_upright(90.0deg)+beaker_outside_goal(0.438,-0.299)",0.4588;0.1303,0.4996;0.3379,True,90.00,0.4380;-0.2987,False,False,False,beaker,101.8,,43.72,6.4,11.0,140.9
2026-09-12T08:05:03,3,transfer,fr5_ag95,True,52.72,536,True,2.89,,0.4879;0.1407,0.4452;0.3208,True,0.00,0.3576;-0.3413,True,True,True,beaker,11.6,,49.00,3.8,9.4,113.9
2026-09-12T08:08:01,4,transfer,fr5_ag95,True,54.45,494,True,2.78,,0.5202;0.1422,0.4882;0.3719,True,0.00,0.3599;-0.3639,True,True,True,beaker,17.1,,59.16,24.8,45.1,64.3
2026-09-12T08:11:01,5,transfer,fr5_ag95,True,55.23,466,True,2.74,,0.4808;0.1293,0.5337;0.3469,True,0.00,0.3574;-0.3570,True,True,True,beaker,10.2,,54.40,5.8,38.8,84.8
2026-09-12T08:14:08,6,transfer,fr5_ag95,True,105.67,522,True,7.83,,0.5074;0.1577,0.4461;0.2868,True,0.00,0.3626;-0.3518,True,True,True,beaker,12.7,,48.36,5.3,54.9,104.3
2026-09-12T08:17:59,7,transfer,fr5_ag95,True,52.38,260,True,3.87,,0.4405;0.2069,0.4806;0.3120,True,0.00,0.3377;-0.3334,True,True,True,beaker,20.7,,60.67,10.0,15.2,64.8
2026-09-12T08:20:58,8,transfer,fr5_ag95,True,53.70,331,True,10.39,,0.4838;0.1620,0.4817;0.3058,True,0.00,0.3451;-0.3398,True,True,True,beaker,11.3,,43.87,58.3,47.9,161.8
2026-09-12T08:30:39,9,transfer,fr5_ag95,False,,,False,,set_tamp_env_failed,0.5260;0.2166,0.4776;0.3302,False,,,False,False,False,,,,,,,
2026-09-12T08:32:04,10,transfer,fr5_ag95,False,2.47,0,False,,plan_no_satisfying,0.5089;0.2089,0.5295;0.3642,False,,,False,False,False,,,,,,,
2026-09-12T08:33:33,11,transfer,fr5_ag95,True,53.26,532,True,6.48,,0.4470;0.1377,0.4960;0.3186,True,0.00,0.3407;-0.3429,True,True,True,beaker,11.7,,56.48,6.5,37.0,81.6
2026-09-12T08:36:31,12,transfer,fr5_ag95,True,106.56,475,True,5.31,,0.5070;0.1363,0.5196;0.2819,True,0.00,0.3607;-0.3385,True,True,True,beaker,15.8,,55.49,2.4,36.4,86.8
