timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy,poured,final_tilt_deg,final_xy,placed_upright,placed_in_goal,task_success,target_obj,goal_err_mm,aux_check
2026-09-10T00:18:00,0,move,fr5_vgc10,True,20.65,659,True,1.87,,0.5007;0.1977,0.5273;0.3632,False,0.00,0.1359;-0.5858,True,True,True,box,20.0,
2026-09-10T00:19:49,1,move,fr5_vgc10,True,22.04,713,True,2.04,,0.5228;0.1657,0.4366;0.3570,False,0.00,0.1601;-0.5914,True,True,True,box,13.3,
2026-09-10T00:21:35,2,move,fr5_vgc10,True,20.49,721,True,1.41,,0.4588;0.1303,0.4996;0.3379,False,0.00,0.1513;-0.5952,True,True,True,box,5.0,
2026-09-10T00:23:21,3,move,fr5_vgc10,True,20.88,706,True,2.07,,0.4879;0.1407,0.4452;0.3208,False,0.00,0.1464;-0.6080,True,True,True,box,8.8,
2026-09-10T00:25:10,4,move,fr5_vgc10,True,20.55,689,True,2.10,,0.5202;0.1422,0.4882;0.3719,False,0.00,0.1360;-0.5737,True,True,True,box,29.8,
2026-09-10T00:26:57,5,move,fr5_vgc10,True,20.78,716,True,2.00,,0.4808;0.1293,0.5337;0.3469,False,0.00,0.1531;-0.6132,True,True,True,box,13.5,
2026-09-10T00:28:45,6,move,fr5_vgc10,True,20.55,723,True,1.97,,0.5074;0.1577,0.4461;0.2868,False,0.00,0.1399;-0.5911,True,True,True,box,13.5,
2026-09-10T00:30:32,7,move,fr5_vgc10,True,20.45,733,True,0.94,,0.4405;0.2069,0.4806;0.3120,False,0.00,0.1542;-0.6113,True,True,True,box,12.1,
2026-09-10T00:32:17,8,move,fr5_vgc10,True,20.41,678,True,2.03,,0.4838;0.1620,0.4817;0.3058,False,0.00,0.1382;-0.6142,True,True,True,box,18.5,
2026-09-10T00:34:05,9,move,fr5_vgc10,True,20.70,658,True,1.49,,0.5260;0.2166,0.4776;0.3302,False,0.00,0.1393;-0.5756,True,True,True,box,26.7,
2026-09-10T00:35:53,10,move,fr5_vgc10,True,20.55,705,True,1.10,,0.5089;0.2089,0.5295;0.3642,False,0.00,0.1532;-0.6118,True,True,True,box,12.2,
2026-09-10T00:37:40,11,move,fr5_vgc10,True,20.93,713,True,2.01,,0.4470;0.1377,0.4960;0.3186,False,0.00,0.1526;-0.5941,True,True,True,box,6.5,
2026-09-10T00:39:27,12,move,fr5_vgc10,True,24.91,711,True,2.28,,0.5070;0.1363,0.5196;0.2819,False,0.00,0.1380;-0.5780,True,True,True,box,25.0,
2026-09-10T00:41:24,13,move,fr5_vgc10,True,22.22,755,True,1.31,,0.5014;0.1250,0.5323;0.3103,False,0.00,0.1424;-0.6080,True,True,True,box,11.0,
2026-09-10T00:43:19,14,move,fr5_vgc10,True,27.02,708,True,2.15,,0.5162;0.1964,0.4911;0.3563,False,0.00,0.1440;-0.5908,True,True,True,box,11.0,
2026-09-10T00:45:20,15,move,fr5_vgc10,True,46.14,720,True,2.09,,0.5119;0.1593,0.5314;0.3598,False,0.00,0.1491;-0.6062,True,True,True,box,6.3,
2026-09-10T00:47:42,16,move,fr5_vgc10,True,25.25,726,True,2.34,,0.5274;0.2102,0.5030;0.3775,False,0.00,0.1339;-0.5910,True,True,True,box,18.5,
2026-09-10T00:49:36,17,move,fr5_vgc10,True,24.10,712,True,2.10,,0.4828;0.1859,0.4354;0.3071,False,0.00,0.1438;-0.6108,True,True,True,box,12.5,
2026-09-10T00:51:35,18,move,fr5_vgc10,True,22.89,711,True,2.28,,0.5044;0.1824,0.4461;0.3130,False,0.00,0.1375;-0.5775,True,True,True,box,25.7,
2026-09-10T00:53:26,19,move,fr5_vgc10,True,23.20,689,True,1.64,,0.5181;0.1786,0.5255;0.3745,False,0.00,0.1379;-0.5973,True,True,True,box,12.4,
2026-09-10T00:55:22,20,move,fr5_vgc10,True,22.54,680,True,1.78,,0.4499;0.2234,0.4787;0.3457,False,0.00,0.1573;-0.6142,True,True,True,box,16.0,
2026-09-10T00:57:15,21,move,fr5_vgc10,True,21.17,696,True,1.96,,0.4823;0.1360,0.5014;0.3014,False,0.00,0.1216;-0.5989,True,True,True,box,28.4,
2026-09-10T00:59:20,22,move,fr5_vgc10,True,23.21,707,True,1.15,,0.5251;0.2084,0.4894;0.3424,False,0.00,0.1417;-0.6129,True,True,True,box,15.3,
2026-09-10T01:01:13,23,move,fr5_vgc10,True,22.23,738,True,1.53,,0.4602;0.1466,0.4809;0.3232,False,0.00,0.1390;-0.6029,True,True,True,box,11.4,
2026-09-10T01:03:02,24,move,fr5_vgc10,True,21.16,729,True,2.12,,0.5274;0.1334,0.5159;0.3529,False,0.00,0.1589;-0.5847,True,True,True,box,17.7,
2026-09-10T01:04:45,25,move,fr5_vgc10,True,21.23,718,True,1.19,,0.5391;0.2034,0.4564;0.3583,False,0.00,0.1633;-0.5950,True,True,True,box,14.2,
2026-09-10T01:06:28,26,move,fr5_vgc10,True,20.59,714,True,1.27,,0.5034;0.1417,0.4514;0.3323,False,0.00,0.1442;-0.6080,True,True,True,box,9.9,
2026-09-10T01:08:18,27,move,fr5_vgc10,False,,,False,,tool_change_vgc10_failed,,,False,,,False,False,False,,,
2026-09-10T01:10:53,28,move,fr5_vgc10,True,20.65,718,True,1.95,,0.5276;0.2198,0.5123;0.3146,False,0.00,0.1516;-0.6117,True,True,True,box,11.8,
2026-09-10T01:12:39,29,move,fr5_vgc10,True,20.58,713,True,1.65,,0.4794;0.1628,0.4577;0.3605,False,0.00,0.1400;-0.6023,True,True,True,box,10.3,
