timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy,poured,final_tilt_deg,final_xy,placed_upright,placed_in_goal,task_success,target_obj,goal_err_mm,aux_check
2026-09-10T17:23:18,0,move,fr5_vgc10,True,27.49,719,True,2.22,,0.5007;0.1977,0.5273;0.3632,False,0.00,0.1440;-0.5842,True,True,True,box,16.9,
2026-09-10T17:25:19,1,move,fr5_vgc10,True,30.81,706,True,2.19,,0.5228;0.1657,0.4366;0.3570,False,0.00,0.1580;-0.5948,True,True,True,box,9.5,
2026-09-10T17:27:19,2,move,fr5_vgc10,True,25.86,739,True,1.65,,0.4588;0.1303,0.4996;0.3379,False,0.00,0.1457;-0.5991,True,True,True,box,4.3,
2026-09-10T17:29:18,3,move,fr5_vgc10,True,22.10,684,True,2.12,,0.4879;0.1407,0.4452;0.3208,False,0.00,0.1378;-0.6070,True,True,True,box,14.1,
2026-09-10T17:31:17,4,move,fr5_vgc10,True,22.36,730,True,2.13,,0.5202;0.1422,0.4882;0.3719,False,0.00,0.1503;-0.5851,True,True,True,box,14.9,
2026-09-10T17:33:12,5,move,fr5_vgc10,True,25.29,723,True,2.05,,0.4809;0.1293,0.5337;0.3469,False,0.00,0.1548;-0.6136,True,True,True,box,14.4,
2026-09-10T17:35:05,6,move,fr5_vgc10,True,20.93,721,True,1.86,,0.5074;0.1577,0.4461;0.2868,False,0.00,0.1525;-0.5959,True,True,True,box,4.8,
2026-09-10T17:36:50,7,move,fr5_vgc10,True,21.19,726,True,0.96,,0.4405;0.2069,0.4806;0.3120,False,0.00,0.1542;-0.6113,True,True,True,box,12.1,
2026-09-10T17:38:37,8,move,fr5_vgc10,True,21.33,696,True,2.13,,0.4838;0.1620,0.4817;0.3058,False,0.00,0.1503;-0.5862,True,True,True,box,13.8,
2026-09-10T17:40:20,9,move,fr5_vgc10,True,20.64,710,True,1.41,,0.5260;0.2166,0.4776;0.3302,False,0.00,0.1571;-0.5892,True,True,True,box,12.9,
2026-09-10T17:42:08,10,move,fr5_vgc10,True,20.25,706,True,1.12,,0.5089;0.2089,0.5295;0.3642,False,0.00,0.1528;-0.6114,True,True,True,box,11.8,
