seed,object,published,dxy_mm,dz_mm,dyaw_deg,tag_dxy_mm,tag_dz_mm,n_tf,cam1_rate,cam2_rate,n_cams,cam1_proc,cam2_proc,gt_x,gt_y,gt_yaw,tag_x,tag_y
0,beaker,1,0.83,5.68,-0.06,0.82,5.79,8018,1.000,1.000,2,481,578,0.5007,0.1977,15.7,0.6451,0.2383
0,flask,1,0.76,-1.31,0.40,0.18,0.16,8017,0.000,1.000,1,481,578,0.5273,0.3632,-179.0,0.3774,0.3607
1,beaker,1,1.04,7.01,0.03,1.22,6.91,7542,1.000,1.000,2,461,458,0.5228,0.1657,17.9,0.6655,0.2117
1,flask,1,0.87,1.44,0.03,0.94,1.39,7541,1.000,1.000,2,461,458,0.4366,0.357,13.7,0.5823,0.3926
2,beaker,1,1.41,5.77,-0.09,1.55,5.24,7699,1.000,0.000,1,391,488,0.4588,0.1303,-81.0,0.4822,-0.0179
2,flask,1,1.75,-3.05,0.18,1.66,-3.28,7698,1.000,1.000,2,391,488,0.4996,0.3379,-126.0,0.4115,0.2165
3,beaker,0,nan,nan,nan,nan,nan,0,0.000,0.000,0,483,613,0.4879,0.1407,84.4,0.5024,0.29
3,flask,1,4.02,-5.59,-0.02,4.19,-5.41,7381,1.000,1.000,2,483,613,0.4452,0.3208,6.0,0.5944,0.3365
4,beaker,1,1.52,-1.02,0.05,1.62,-1.25,7247,1.000,1.000,2,405,483,0.5202,0.1422,133.8,0.4164,0.2505
4,flask,1,2.35,-2.74,0.01,2.68,-3.04,7246,1.000,1.000,2,405,483,0.4882,0.3719,-8.2,0.6367,0.3504
5,beaker,1,2.73,0.70,-0.10,2.53,0.82,7825,1.000,1.000,2,447,554,0.4808,0.1293,-162.4,0.3378,0.084
5,flask,1,1.50,1.76,0.22,1.14,0.83,7824,1.000,1.000,2,447,554,0.5337,0.3469,-95.6,0.5192,0.1976
6,beaker,1,1.49,7.08,-0.01,1.60,7.77,6792,1.000,1.000,2,348,374,0.5074,0.1577,64.8,0.5714,0.2934
