seed,object,published,dxy_mm,dz_mm,dyaw_deg,tag_dxy_mm,tag_dz_mm,n_tf,cam1_rate,cam2_rate,n_cams,cam1_proc,cam2_proc,gt_x,gt_y,gt_yaw,tag_x,tag_y
0,beaker,1,2.68,5.08,-0.08,1.86,4.46,7733,1.000,1.000,2,470,456,0.5007,0.1977,15.7,0.6451,0.2383
0,flask,1,1.63,2.42,-0.21,1.10,2.71,7732,1.000,1.000,2,470,456,0.5273,0.3632,-179.0,0.3774,0.3607
2,beaker,1,3.12,2.06,-0.05,3.20,1.66,7768,1.000,1.000,2,435,493,0.4588,0.1303,-81.0,0.4822,-0.0179
2,flask,1,2.96,5.91,-0.03,2.48,5.34,7767,1.000,1.000,2,435,493,0.4996,0.3379,-126.0,0.4115,0.2165
3,beaker,1,2.51,3.25,0.14,2.18,4.04,7913,1.000,1.000,2,467,524,0.4879,0.1407,84.4,0.5024,0.29
3,flask,1,5.41,-3.71,0.03,4.66,-2.63,7911,1.000,1.000,2,467,524,0.4452,0.3208,6.0,0.5944,0.3365
4,beaker,1,0.96,3.14,0.02,0.87,3.27,7716,1.000,1.000,2,486,556,0.5202,0.1422,133.8,0.4164,0.2505
4,flask,1,1.09,-0.45,0.22,1.74,-0.09,7714,1.000,1.000,2,486,556,0.4882,0.3719,-8.2,0.6367,0.3504
5,beaker,1,1.78,5.46,-0.10,1.48,5.17,7727,1.000,1.000,2,453,552,0.4808,0.1293,-162.4,0.3378,0.084
5,flask,1,2.70,4.52,0.20,1.58,3.13,7726,1.000,1.000,2,453,552,0.5337,0.3469,-95.6,0.5192,0.1976
6,beaker,1,2.06,8.44,-0.08,1.93,8.63,6688,1.000,1.000,2,331,367,0.5074,0.1577,64.8,0.5714,0.2934
6,flask,1,1.46,3.86,0.05,1.27,3.48,6687,1.000,1.000,2,331,367,0.4461,0.2868,126.1,0.3578,0.4081
7,beaker,1,2.81,8.61,0.07,2.23,8.85,7410,1.000,1.000,2,437,467,0.4405,0.2069,106.9,0.3968,0.3504
7,flask,1,2.21,2.61,-0.00,1.79,2.00,7409,1.000,1.000,2,437,467,0.4806,0.312,-79.8,0.5073,0.1643
8,beaker,1,1.87,-0.70,0.09,1.91,-0.56,7747,1.000,1.000,2,514,509,0.4838,0.162,-141.5,0.3664,0.0686
8,flask,1,1.63,1.60,0.06,0.52,0.54,7746,1.000,1.000,2,514,509,0.4817,0.3058,-87.4,0.4885,0.1559
9,beaker,1,1.41,4.98,-0.08,0.90,4.49,6228,1.000,1.000,2,363,395,0.526,0.2166,-170.4,0.3781,0.1916
9,flask,0,nan,nan,nan,nan,nan,0,0.000,0.000,0,363,395,0.4776,0.3302,-156.5,0.3399,0.2704
10,beaker,1,1.69,4.53,0.01,1.73,4.32,6524,1.000,1.000,2,320,364,0.5089,0.2089,-26.8,0.6428,0.1413
10,flask,1,23.73,-20.80,-0.34,19.22,-25.08,6523,1.000,1.000,2,320,364,0.5295,0.3642,-58.2,0.6085,0.2367
11,beaker,1,3.21,6.11,0.17,2.35,5.12,7721,1.000,1.000,2,446,533,0.447,0.1377,161.4,0.3049,0.1856
11,flask,1,2.32,2.57,-0.03,0.99,3.81,7720,1.000,1.000,2,446,533,0.496,0.3186,4.1,0.6456,0.3293
13,beaker,1,2.81,2.21,-0.09,2.02,1.86,6776,1.000,1.000,2,353,439,0.5014,0.125,147.7,0.3745,0.2051
13,flask,1,1.71,6.29,0.09,2.07,6.03,6773,1.000,1.000,2,353,439,0.5323,0.3103,112.9,0.4739,0.4484
14,beaker,1,3.63,5.80,-0.04,3.11,6.11,6399,1.000,1.000,2,332,346,0.5162,0.1964,-11.8,0.6631,0.1657
14,flask,1,1.93,0.95,0.00,1.62,1.04,6398,1.000,1.000,2,332,346,0.4911,0.3563,-157.1,0.3529,0.298
15,beaker,1,3.57,6.08,-0.06,3.49,6.30,6713,1.000,1.000,2,328,454,0.5119,0.1593,-15.5,0.6564,0.1193
15,flask,1,1.68,7.11,-0.05,1.95,6.90,6711,1.000,1.000,2,328,454,0.5314,0.3598,123.8,0.4481,0.4845
16,beaker,1,2.27,6.98,0.13,1.74,6.25,7316,1.000,1.000,2,407,409,0.5275,0.2102,-164.1,0.3832,0.1689
16,flask,1,1.97,1.20,0.01,1.64,0.44,7315,1.000,1.000,2,407,409,0.503,0.3775,174.6,0.3537,0.3917
17,beaker,1,1.78,2.94,0.01,1.38,3.85,6182,1.000,1.000,2,374,373,0.4828,0.1859,85.1,0.4956,0.3353
17,flask,0,nan,nan,nan,nan,nan,0,0.000,0.000,0,374,373,0.4354,0.3071,37.5,0.5544,0.3984
18,beaker,1,1.89,6.02,0.10,1.45,6.78,6489,1.000,1.000,2,327,393,0.5044,0.1824,-8.9,0.6526,0.1593
18,flask,1,2.84,3.07,0.02,1.82,4.08,6488,1.000,1.000,2,327,393,0.4461,0.313,85.0,0.4591,0.4625
19,beaker,1,1.94,6.79,-0.06,1.72,6.31,7726,1.000,1.000,2,410,494,0.5181,0.1786,-67.8,0.5748,0.0397
19,flask,1,1.90,8.00,0.04,2.02,8.04,7725,1.000,1.000,2,410,494,0.5255,0.3745,-22.9,0.6637,0.3162
20,beaker,1,3.12,9.93,-0.09,2.74,9.81,7158,1.000,1.000,2,376,398,0.4499,0.2234,69.9,0.5015,0.3642
20,flask,1,2.19,2.69,0.06,1.38,2.39,7157,1.000,1.000,2,376,398,0.4787,0.3457,-82.6,0.498,0.1969
21,beaker,1,3.63,9.22,0.13,2.95,8.78,7462,1.000,1.000,2,393,421,0.4823,0.136,165.0,0.3375,0.1749
21,flask,1,2.52,8.93,0.02,2.21,9.39,7461,1.000,1.000,2,393,421,0.5014,0.3014,61.9,0.572,0.4337
22,beaker,1,1.32,5.08,-0.14,1.23,5.28,7155,1.000,1.000,2,403,435,0.5252,0.2084,-161.5,0.3829,0.1608
22,flask,1,2.02,3.53,-0.14,1.56,3.17,7154,1.000,1.000,2,403,435,0.4894,0.3424,-161.9,0.3467,0.2959
23,beaker,1,2.90,8.09,-0.01,2.12,8.56,6289,1.000,1.000,2,315,317,0.4602,0.1466,78.0,0.4914,0.2933
23,flask,1,1.88,4.03,0.08,1.86,3.73,6288,1.000,1.000,2,315,317,0.4809,0.3232,-54.3,0.5684,0.2014
24,beaker,1,2.32,3.13,0.12,1.55,4.25,7629,1.000,1.000,2,403,467,0.5274,0.1334,87.3,0.5345,0.2832
24,flask,1,1.72,4.89,-0.14,1.75,4.81,7628,1.000,1.000,2,403,467,0.5159,0.3529,-32.4,0.6425,0.2724
25,beaker,1,1.02,2.15,-0.05,0.99,2.19,7556,1.000,1.000,2,329,488,0.5391,0.2034,-136.3,0.4306,0.0999
