timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy,poured,final_tilt_deg,final_xy,placed_upright,placed_in_goal,task_success,target_obj,goal_err_mm,aux_check
2026-09-10T12:56:34,0,stir,fr5_dh3,True,31.42,820,True,1.75,,0.5007;0.1977,0.5273;0.3632,False,0.01,-0.1740;0.5930,True,True,True,flask,4.0,"magnet_in_vessel=True(dxy=7mm,z=0.1129,mouth=0.2124)"
2026-09-10T12:59:18,1,stir,fr5_dh3,True,31.31,807,True,1.83,,0.5228;0.1657,0.4366;0.3570,False,0.00,-0.1794;0.5777,True,True,True,flask,1.5,"magnet_in_vessel=True(dxy=4mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:02:04,2,stir,fr5_dh3,True,34.65,755,True,2.70,,0.4588;0.1303,0.4996;0.3379,False,0.02,-0.1641;0.5640,True,True,True,flask,5.7,"magnet_in_vessel=True(dxy=2mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:04:45,3,stir,fr5_dh3,True,31.43,706,True,3.63,,0.4879;0.1407,0.4452;0.3208,False,0.01,-0.1281;0.5772,True,True,True,flask,3.1,"magnet_in_vessel=True(dxy=1mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:07:25,4,stir,fr5_dh3,True,32.81,801,True,3.44,,0.5202;0.1422,0.4882;0.3719,False,0.00,-0.1883;0.6006,True,True,True,flask,11.9,"magnet_in_vessel=True(dxy=14mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:10:14,5,stir,fr5_dh3,True,36.53,611,True,3.95,,0.4808;0.1293,0.5337;0.3469,False,0.00,-0.1319;0.5521,True,True,True,flask,4.1,"magnet_in_vessel=True(dxy=8mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:13:35,6,stir,fr5_dh3,True,32.13,817,True,1.73,,0.5074;0.1577,0.4461;0.2868,False,0.01,-0.1062;0.5832,True,True,True,flask,13.3,"magnet_in_vessel=True(dxy=7mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:16:16,7,stir,fr5_dh3,True,33.03,722,True,1.77,,0.4405;0.2069,0.4806;0.3120,False,0.00,-0.1376;0.6513,True,True,True,flask,2.5,"magnet_in_vessel=True(dxy=2mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:19:13,8,stir,fr5_dh3,True,33.81,802,True,1.45,,0.4838;0.1620,0.4817;0.3058,False,0.00,-0.1473;0.6096,True,True,True,flask,9.3,"magnet_in_vessel=True(dxy=7mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:21:53,9,stir,fr5_dh3,True,31.75,588,True,1.78,,0.5260;0.2166,0.4776;0.3302,False,0.01,-0.1687;0.6231,True,True,True,flask,1.7,"magnet_in_vessel=True(dxy=2mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:24:45,10,stir,fr5_dh3,True,31.46,731,True,1.87,,0.5089;0.2089,0.5295;0.3642,False,0.01,-0.1815;0.6341,True,True,True,flask,7.9,"magnet_in_vessel=True(dxy=9mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:27:29,11,stir,fr5_dh3,True,31.60,777,True,1.41,,0.4470;0.1377,0.4960;0.3186,False,0.01,-0.1185;0.6059,True,True,True,flask,0.9,"magnet_in_vessel=True(dxy=2mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:30:14,12,stir,fr5_dh3,True,33.34,751,True,3.36,,0.5070;0.1363,0.5196;0.2819,False,0.01,-0.1734;0.5628,True,True,True,flask,6.1,"magnet_in_vessel=True(dxy=8mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:33:06,13,stir,fr5_dh3,True,34.80,629,True,2.44,,0.5014;0.1250,0.5323;0.3103,False,0.00,-0.1180;0.6006,True,True,True,flask,1.0,"magnet_in_vessel=True(dxy=1mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:36:01,14,stir,fr5_dh3,True,33.66,621,True,3.61,,0.5162;0.1964,0.4911;0.3563,False,0.01,-0.1003;0.5789,True,True,True,flask,2.8,"magnet_in_vessel=True(dxy=4mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:38:48,15,stir,fr5_dh3,True,28.24,749,True,4.38,,0.5119;0.1593,0.5314;0.3598,False,0.01,-0.1447;0.6399,True,True,True,flask,4.9,"magnet_in_vessel=True(dxy=6mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:41:30,16,stir,fr5_dh3,True,35.62,663,True,3.37,,0.5274;0.2102,0.5030;0.3775,False,0.02,-0.1503;0.6026,True,True,True,flask,13.5,"magnet_in_vessel=True(dxy=8mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:44:46,17,stir,fr5_dh3,True,53.75,646,True,2.03,,0.4828;0.1859,0.4354;0.3071,False,0.01,-0.1991;0.5582,True,True,True,flask,9.7,"magnet_in_vessel=True(dxy=10mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:47:58,18,stir,fr5_dh3,True,34.70,773,True,2.16,,0.5044;0.1824,0.4461;0.3130,False,0.00,-0.1307;0.6080,True,True,True,flask,8.9,"magnet_in_vessel=True(dxy=11mm,z=0.1129,mouth=0.2124)"
2026-09-10T13:51:00,19,stir,fr5_dh3,True,31.48,640,True,3.47,,0.5181;0.1786,0.5255;0.3745,False,0.01,-0.1342;0.6427,True,True,True,flask,1.6,"magnet_in_vessel=True(dxy=2mm,z=0.1129,mouth=0.2124)"
2026-09-10T14:00:21,20,stir,fr5_dh3,True,32.96,603,True,3.69,,0.4499;0.2234,0.4787;0.3457,False,0.00,-0.1661;0.5613,True,True,True,flask,2.6,"magnet_in_vessel=True(dxy=5mm,z=0.1129,mouth=0.2124)"
2026-09-10T14:03:18,21,stir,fr5_dh3,True,35.70,680,True,1.43,,0.4823;0.1360,0.5014;0.3014,False,0.01,-0.1051;0.5856,True,True,True,flask,1.5,"magnet_in_vessel=True(dxy=6mm,z=0.1129,mouth=0.2124)"
2026-09-10T14:06:43,22,stir,fr5_dh3,True,31.27,627,True,2.49,,0.5252;0.2084,0.4894;0.3424,False,0.00,-0.1600;0.6349,True,True,True,flask,7.2,"magnet_in_vessel=True(dxy=15mm,z=0.1129,mouth=0.2124)"
2026-09-10T14:09:38,23,stir,fr5_dh3,True,31.96,826,True,3.97,,0.4602;0.1466,0.4809;0.3232,False,0.00,-0.1360;0.6232,True,True,True,flask,1.8,"magnet_in_vessel=True(dxy=2mm,z=0.1129,mouth=0.2124)"
2026-09-10T14:12:30,24,stir,fr5_dh3,True,35.50,721,True,4.40,,0.5274;0.1334,0.5159;0.3529,False,0.02,-0.1540;0.5668,True,True,True,flask,8.2,"magnet_in_vessel=True(dxy=4mm,z=0.1129,mouth=0.2124)"
2026-09-10T14:15:41,25,stir,fr5_dh3,True,34.07,634,True,3.71,,0.5391;0.2034,0.4564;0.3583,False,0.00,-0.1674;0.5862,True,True,True,flask,7.0,"magnet_in_vessel=True(dxy=6mm,z=0.1129,mouth=0.2124)"
2026-09-10T14:18:24,26,stir,fr5_dh3,True,35.80,714,True,1.62,,0.5034;0.1417,0.4514;0.3323,False,0.01,-0.1715;0.6440,True,True,True,flask,6.3,"magnet_in_vessel=True(dxy=9mm,z=0.1129,mouth=0.2124)"
2026-09-10T14:21:07,27,stir,fr5_dh3,True,39.74,831,True,1.94,,0.4410;0.1446,0.5282;0.3220,False,0.00,-0.1158;0.5902,True,True,True,flask,7.2,"magnet_in_vessel=True(dxy=17mm,z=0.1004,mouth=0.2124)"
2026-09-10T14:24:01,28,stir,fr5_dh3,True,39.98,637,True,1.40,,0.5276;0.2198,0.5123;0.3146,False,0.00,-0.1469;0.5582,True,True,True,flask,11.2,"magnet_in_vessel=True(dxy=12mm,z=0.1129,mouth=0.2124)"
2026-09-10T14:26:55,29,stir,fr5_dh3,True,39.96,685,True,1.90,,0.4794;0.1628,0.4577;0.3605,False,0.01,-0.2035;0.6566,True,True,True,flask,13.0,"magnet_in_vessel=True(dxy=11mm,z=0.1129,mouth=0.2124)"
