t_s,j1,j2,j3,j4,j5,j6,operation
0.0,0.106,-0.9425,-2.1766,-1.6448,1.4143,-0.0407,
0.0406,0.106,-0.9425,-2.1766,-1.6448,1.4143,-0.0407,Pick
0.0809,0.106,-0.9425,-2.1766,-1.6448,1.4143,-0.0407,Pick
0.1229,0.106,-0.9425,-2.1766,-1.6448,1.4143,-0.0407,Pick
0.1634,0.105874,-0.943176,-2.176045,-1.644991,1.414364,-0.04067,Pick
0.2037,0.105095,-0.947367,-2.172601,-1.646177,1.414762,-0.040481,Pick
0.2442,0.104316,-0.951558,-2.169157,-1.647362,1.415161,-0.040293,Pick
0.2846,0.103537,-0.955749,-2.165713,-1.648547,1.415559,-0.040105,Pick
0.3251,0.102524,-0.961402,-2.16116,-1.650203,1.41615,-0.039843,Pick
0.3654,0.101019,-0.970125,-2.154279,-1.652847,1.417145,-0.03943,Pick
0.406,0.099514,-0.978848,-2.147398,-1.65549,1.41814,-0.039016,Pick
0.4471,0.098009,-0.987572,-2.140517,-1.658134,1.419135,-0.038602,Pick
0.4872,0.096215,-0.998323,-2.132197,-1.661501,1.420494,-0.038073,Pick
0.5273,0.094113,-1.011237,-2.122341,-1.665641,1.422241,-0.037422,Pick
0.5677,0.09201,-1.02415,-2.112486,-1.66978,1.423988,-0.036771,Pick
0.6082,0.089907,-1.037064,-2.10263,-1.673919,1.425734,-0.036119,Pick
0.6485,0.087498,-1.052337,-2.091196,-1.678968,1.428053,-0.035299,Pick
0.6899,0.084921,-1.068907,-2.078892,-1.684517,1.430686,-0.034385,Pick
0.7294,0.082343,-1.085477,-2.066589,-1.690066,1.43332,-0.033472,Pick
0.7699,0.079765,-1.102048,-2.054286,-1.695614,1.435953,-0.032558,Pick
0.8104,0.076905,-1.121033,-2.040447,-1.702153,1.43934,-0.031446,Pick
0.8507,0.073978,-1.140597,-2.02624,-1.708929,1.442908,-0.030286,Pick
0.8912,0.071051,-1.160161,-2.012033,-1.715705,1.446477,-0.029127,Pick
0.9316,0.068124,-1.179726,-1.997825,-1.722481,1.450045,-0.027967,Pick
0.972,0.06507,-1.201418,-1.982302,-1.730186,1.454489,-0.026541,Pick
1.0125,0.062012,-1.223181,-1.966735,-1.737923,1.458962,-0.025106,Pick
1.0531,0.058953,-1.244945,-1.951167,-1.74566,1.463436,-0.023671,Pick
1.0934,0.055897,-1.266898,-1.935475,-1.753488,1.468025,-0.0222,Pick
1.1338,0.052857,-1.290136,-1.918938,-1.761939,1.473399,-0.020486,Pick
1.1743,0.049817,-1.313374,-1.902401,-1.77039,1.478772,-0.018772,Pick
1.2147,0.046777,-1.336612,-1.885864,-1.77884,1.484146,-0.017058,Pick
1.255,0.043786,-1.360101,-1.869135,-1.78743,1.48975,-0.015255,Pick
1.2954,0.040917,-1.384206,-1.851938,-1.79636,1.495917,-0.013238,Pick
1.3374,0.038048,-1.408311,-1.834741,-1.80529,1.502084,-0.01122,Pick
1.3764,0.03518,-1.432416,-1.817544,-1.814221,1.508251,-0.009203,Pick
1.4168,0.032416,-1.45674,-1.800144,-1.823305,1.514728,-0.007069,Pick
1.4572,0.029781,-1.481331,-1.782499,-1.832576,1.521583,-0.004793,Pick
1.498,0.027145,-1.505921,-1.764854,-1.841847,1.528437,-0.002517,Pick
1.538,0.024509,-1.530511,-1.747209,-1.851119,1.535291,-0.000241,Pick
1.5783,0.022092,-1.555179,-1.72944,-1.860563,1.542549,0.00221,Pick
1.6188,0.019813,-1.579895,-1.711593,-1.870116,1.550062,0.004771,Pick
1.6592,0.017533,-1.604611,-1.693746,-1.879669,1.557575,0.007332,Pick
1.6996,0.015254,-1.629328,-1.6759,-1.889223,1.565088,0.009894,Pick
1.74,0.01333,-1.653819,-1.658058,-1.898922,1.573155,0.012703,Pick
1.7812,0.011508,-1.678245,-1.640219,-1.908664,1.581383,0.015584,Pick
1.8217,0.009687,-1.702671,-1.622379,-1.918406,1.589611,0.018465,Pick
1.8637,0.007866,-1.727097,-1.60454,-1.928147,1.597839,0.021347,Pick
1.9033,0.006569,-1.750942,-1.586984,-1.93806,1.606869,0.024581,Pick
1.9428,0.005308,-1.774747,-1.569448,-1.947984,1.615954,0.027839,Pick
1.9833,0.004047,-1.798552,-1.551912,-1.957907,1.625039,0.031097,Pick
2.0238,0.00284,-1.822277,-1.534435,-1.967844,1.634203,0.034384,Pick
2.0651,0.002143,-1.845264,-1.517504,-1.977901,1.644108,0.037941,Pick
2.1046,0.001446,-1.86825,-1.500574,-1.987959,1.654014,0.041499,Pick
2.1451,0.000749,-1.891236,-1.483644,-1.998016,1.663919,0.045056,Pick
2.1862,0.000195,-1.91397,-1.466949,-2.008094,1.674003,0.048666,Pick
