timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy
2026-09-08T16:28:53,1,transfer,fr5_ag95,True,48.42,327,True,4.25,,0.5228;0.1657,0.4366;0.3570
2026-09-08T16:31:35,2,transfer,fr5_ag95,True,84.52,459,True,5.28,,0.4588;0.1303,0.4996;0.3379
2026-09-08T16:34:46,3,transfer,fr5_ag95,True,44.99,501,True,1.61,,0.4879;0.1407,0.4452;0.3208
2026-09-08T16:37:20,4,transfer,fr5_ag95,True,74.92,542,True,11.09,,0.5202;0.1422,0.4882;0.3719
2026-09-08T16:40:30,5,transfer,fr5_ag95,True,79.85,397,True,3.89,,0.4808;0.1293,0.5337;0.3469
2026-09-08T16:43:45,6,transfer,fr5_ag95,True,78.59,490,True,4.26,,0.5074;0.1577,0.4461;0.2868
2026-09-08T16:47:02,7,transfer,fr5_ag95,True,86.56,249,True,13.21,,0.4405;0.2069,0.4806;0.3120
2026-09-08T16:50:23,8,transfer,fr5_ag95,True,75.89,378,True,12.56,,0.4838;0.1620,0.4817;0.3058
2026-09-08T16:53:35,9,transfer,fr5_ag95,True,197.53,384,True,16.34,,0.5260;0.2166,0.4776;0.3302
2026-09-08T16:58:49,10,transfer,fr5_ag95,True,67.83,482,True,4.13,,0.5089;0.2089,0.5295;0.3642
2026-09-08T17:01:43,11,transfer,fr5_ag95,True,144.53,408,True,5.02,,0.4470;0.1377,0.4960;0.3186
2026-09-08T17:06:02,12,transfer,fr5_ag95,True,84.15,456,True,2.99,,0.5070;0.1363,0.5196;0.2819
2026-09-08T17:09:19,13,transfer,fr5_ag95,True,39.47,481,True,4.18,,0.5014;0.1250,0.5323;0.3103
2026-09-08T17:11:51,14,transfer,fr5_ag95,True,39.83,454,True,4.27,,0.5162;0.1964,0.4911;0.3563
2026-09-08T17:14:37,15,transfer,fr5_ag95,True,39.96,430,True,4.36,,0.5119;0.1593,0.5314;0.3598
2026-09-08T17:17:16,16,transfer,fr5_ag95,True,160.61,413,True,2.65,,0.5274;0.2102,0.5030;0.3775
2026-09-08T17:21:53,17,transfer,fr5_ag95,True,49.87,435,True,6.40,,0.4828;0.1859,0.4354;0.3071
2026-09-08T17:24:37,18,transfer,fr5_ag95,True,79.82,315,True,3.01,,0.5044;0.1824,0.4461;0.3130
2026-09-08T17:27:46,19,transfer,fr5_ag95,True,63.71,428,True,4.93,,0.5181;0.1786,0.5255;0.3745
2026-09-08T17:30:46,20,transfer,fr5_ag95,True,144.64,315,True,2.27,,0.4499;0.2234,0.4787;0.3457
2026-09-08T17:35:05,21,transfer,fr5_ag95,True,78.87,344,True,5.81,,0.4823;0.1360,0.5014;0.3014
2026-09-08T17:38:16,22,transfer,fr5_ag95,True,82.06,418,True,92.25,,0.5251;0.2085,0.4894;0.3424
2026-09-08T17:41:40,23,transfer,fr5_ag95,True,130.21,415,True,2.22,,0.4602;0.1466,0.4809;0.3232
2026-09-08T17:45:45,24,transfer,fr5_ag95,True,56.13,487,True,8.33,,0.5274;0.1334,0.5159;0.3529
2026-09-08T17:48:36,25,transfer,fr5_ag95,True,59.08,407,True,5.92,,0.5391;0.2034,0.4564;0.3583
2026-09-08T17:51:19,26,transfer,fr5_ag95,True,122.67,411,True,6.82,,0.5034;0.1417,0.4514;0.3323
2026-09-08T17:55:18,27,transfer,fr5_ag95,True,161.71,402,True,4.94,,0.4410;0.1446,0.5282;0.3220
2026-09-08T17:59:57,28,transfer,fr5_ag95,True,79.69,341,True,7.45,,0.5276;0.2198,0.5123;0.3146
2026-09-08T18:03:52,29,transfer,fr5_ag95,True,79.66,479,True,4.60,,0.4794;0.1628,0.4577;0.3605
2026-09-08T18:08:14,0,transfer,fr5_ag95,True,79.27,335,True,3.88,,0.5007;0.1977,0.5273;0.3632
