timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy,poured,final_tilt_deg,final_xy,placed_upright,placed_in_goal,task_success,target_obj,goal_err_mm,aux_check
2026-09-10T14:30:13,0,transfer,fr5_ag95,True,167.58,433,True,1.40,,0.5007;0.1977,0.5273;0.3632,True,0.00,0.3392;-0.3345,True,True,True,beaker,18.9,
2026-09-10T14:35:06,1,transfer,fr5_ag95,True,113.99,377,True,2.65,,0.5228;0.1657,0.4366;0.3570,True,0.00,0.3461;-0.3380,True,True,True,beaker,12.7,
2026-09-10T14:38:49,2,transfer,fr5_ag95,True,57.23,564,True,1.34,,0.4588;0.1303,0.4996;0.3379,True,0.00,0.3497;-0.3599,True,True,True,beaker,9.9,
2026-09-10T14:41:47,3,transfer,fr5_ag95,True,54.81,368,True,1.71,,0.4879;0.1407,0.4452;0.3208,True,0.00,0.3382;-0.3338,True,True,True,beaker,20.0,
2026-09-10T14:44:36,4,transfer,fr5_ag95,True,55.24,491,True,2.37,,0.5202;0.1422,0.4882;0.3719,True,0.00,0.3590;-0.3402,True,True,True,beaker,13.3,
2026-09-10T14:47:32,5,transfer,fr5_ag95,True,45.44,342,True,4.22,,0.4808;0.1293,0.5337;0.3469,True,0.00,0.3613;-0.3602,True,True,True,beaker,15.2,
2026-09-10T14:50:25,6,transfer,fr5_ag95,True,54.70,474,True,1.33,,0.5074;0.1577,0.4461;0.2868,True,0.00,0.3604;-0.3637,True,True,True,beaker,17.2,
2026-09-10T14:53:16,7,transfer,fr5_ag95,True,56.95,289,True,2.11,,0.4405;0.2069,0.4806;0.3120,True,0.00,0.3591;-0.3552,True,True,True,beaker,10.4,
2026-09-10T14:56:02,8,transfer,fr5_ag95,True,59.07,486,True,4.34,,0.4838;0.1620,0.4817;0.3058,True,0.00,0.3646;-0.3314,True,True,True,beaker,23.6,
2026-09-10T14:58:55,9,transfer,fr5_ag95,True,55.27,148,True,3.90,,0.5260;0.2166,0.4776;0.3302,True,0.00,0.3617;-0.3669,True,True,True,beaker,20.5,
2026-09-10T15:01:54,10,transfer,fr5_ag95,True,84.24,443,True,2.48,,0.5089;0.2089,0.5295;0.3642,True,0.00,0.3597;-0.3576,True,True,True,beaker,12.3,
