timestamp,seed,task,robot_cfg,plan_success,planning_time_s,num_satisfying,execute_success,max_transport_tilt_deg,failure_reason,beaker_xy,flask_xy,poured,final_tilt_deg,final_xy,placed_upright,placed_in_goal,task_success,target_obj,goal_err_mm,aux_check,pour_peak_tilt_deg,pour_lip_err_mm,pour_start_lip_err_mm,pour_lip_height_mm
2026-09-11T18:24:22,0,transfer,fr5_ag95,True,53.36,462,True,3.37,,0.5007;0.1977,0.5273;0.3632,True,0.00,0.3472;-0.3334,True,True,True,beaker,16.8,,58.49,19.5,10.4,59.0
2026-09-11T18:27:27,1,transfer,fr5_ag95,True,52.12,537,True,4.62,,0.5228;0.1657,0.4366;0.3570,True,0.00,0.3641;-0.3348,True,True,True,beaker,20.7,,53.72,17.9,22.0,90.1
2026-09-11T18:30:33,2,transfer,fr5_ag95,False,2.95,0,False,,plan_no_satisfying,0.4588;0.1303,0.4996;0.3379,False,,,False,False,False,,,,,,,
2026-09-11T18:32:00,3,transfer,fr5_ag95,False,,,False,,set_tamp_env_failed,0.4879;0.1407,0.4452;0.3208,False,,,False,False,False,,,,,,,
2026-09-11T18:33:23,4,transfer,fr5_ag95,False,2.34,0,False,,plan_no_satisfying,0.5202;0.1422,0.4882;0.3719,False,,,False,False,False,,,,,,,
2026-09-11T18:34:51,5,transfer,fr5_ag95,True,55.85,479,True,3.68,,0.4809;0.1293,0.5337;0.3469,True,0.00,0.3567;-0.3454,True,True,True,beaker,8.1,,52.57,16.4,11.5,88.6
2026-09-11T18:38:13,6,transfer,fr5_ag95,True,51.57,398,True,3.04,,0.5074;0.1577,0.4461;0.2868,True,0.00,0.3577;-0.3400,True,True,True,beaker,12.6,,50.88,21.3,29.0,98.6
2026-09-11T18:41:13,7,transfer,fr5_ag95,False,,,False,,set_tamp_env_failed,0.4405;0.2069,0.4806;0.3120,False,,,False,False,False,,,,,,,
2026-09-11T18:42:39,8,transfer,fr5_ag95,False,,,False,,set_tamp_env_failed,0.4838;0.1620,0.4817;0.3058,False,,,False,False,False,,,,,,,
2026-09-11T18:44:02,9,transfer,fr5_ag95,False,,,False,,set_tamp_env_failed,0.5260;0.2166,0.4776;0.3302,False,,,False,False,False,,,,,,,
2026-09-11T18:45:25,10,transfer,fr5_ag95,False,2.31,0,False,,plan_no_satisfying,0.5089;0.2089,0.5295;0.3642,False,,,False,False,False,,,,,,,
2026-09-11T18:46:50,11,transfer,fr5_ag95,True,163.00,474,True,9.92,,0.4470;0.1377,0.4960;0.3186,True,0.00,0.3642;-0.3386,True,True,True,beaker,18.2,,49.14,1.5,45.1,94.4
2026-09-11T18:51:56,12,transfer,fr5_ag95,True,50.08,415,True,2.98,,0.5070;0.1363,0.5196;0.2819,True,0.00,0.3580;-0.3566,True,True,True,beaker,10.3,,57.97,2.8,48.1,68.7
2026-09-11T18:54:53,13,transfer,fr5_ag95,True,105.87,532,True,3.97,"task_incomplete:beaker_not_upright(90.0deg)+beaker_outside_goal(0.423,-0.414)",0.5014;0.1250,0.5323;0.3103,True,90.00,0.4228;-0.4135,False,False,False,beaker,96.7,,60.55,20.4,26.7,77.5
2026-09-11T18:58:51,14,transfer,fr5_ag95,True,51.74,301,True,9.08,,0.5162;0.1964,0.4911;0.3563,True,0.00,0.3430;-0.3561,True,True,True,beaker,9.3,,64.10,21.7,33.4,67.6
2026-09-11T19:01:48,15,transfer,fr5_ag95,True,51.65,413,True,4.13,,0.5119;0.1593,0.5314;0.3598,True,0.00,0.3517;-0.3452,True,True,True,beaker,5.1,,41.43,60.4,35.2,147.2
2026-09-11T19:04:53,16,transfer,fr5_ag95,True,54.32,332,True,5.36,,0.5274;0.2101,0.5030;0.3775,True,0.00,0.3596;-0.3615,True,True,True,beaker,14.9,,60.56,17.6,28.7,77.8
2026-09-11T19:07:51,17,transfer,fr5_ag95,False,,,False,,set_tamp_env_failed,0.4828;0.1859,0.4354;0.3071,False,,,False,False,False,,,,,,,
2026-09-11T19:09:15,18,transfer,fr5_ag95,True,55.23,506,True,2.63,,0.5044;0.1824,0.4461;0.3130,True,0.00,0.3647;-0.3526,True,True,True,beaker,15.0,,58.55,11.0,44.2,66.4
2026-09-11T19:12:18,19,transfer,fr5_ag95,True,56.75,474,True,3.54,,0.5181;0.1786,0.5255;0.3745,True,0.00,0.3444;-0.3566,True,True,True,beaker,8.7,,61.49,32.9,11.0,65.2
2026-09-11T19:15:30,20,transfer,fr5_ag95,False,,,False,,set_tamp_env_failed,0.4499;0.2234,0.4787;0.3457,False,,,False,False,False,,,,,,,
2026-09-11T19:16:55,21,transfer,fr5_ag95,True,60.34,548,True,3.46,,0.4823;0.1360,0.5014;0.3014,True,0.00,0.3423;-0.3425,True,True,True,beaker,10.7,,58.59,17.1,45.3,69.0
2026-09-11T19:19:57,22,transfer,fr5_ag95,True,50.88,328,True,2.51,,0.5251;0.2085,0.4894;0.3424,True,0.00,0.3434;-0.3488,True,True,True,beaker,6.7,,59.00,13.1,33.4,65.4
2026-09-11T19:22:54,23,transfer,fr5_ag95,False,,,False,,set_tamp_env_failed,0.4602;0.1466,0.4809;0.3232,False,,,False,False,False,,,,,,,
2026-09-11T19:24:17,24,transfer,fr5_ag95,False,,,False,,set_tamp_env_failed,0.5274;0.1334,0.5159;0.3529,False,,,False,False,False,,,,,,,
2026-09-11T19:25:43,25,transfer,fr5_ag95,True,57.94,525,True,5.12,,0.5391;0.2034,0.4564;0.3583,True,0.00,0.3555;-0.3494,True,True,True,beaker,5.5,,59.05,29.2,20.8,76.7
2026-09-11T19:28:52,26,transfer,fr5_ag95,True,104.99,457,True,2.98,,0.5034;0.1417,0.4514;0.3323,True,0.00,0.3580;-0.3582,True,True,True,beaker,11.5,,57.22,85.3,99.1,121.7
2026-09-11T19:32:45,27,transfer,fr5_ag95,False,,,False,,set_tamp_env_failed,0.4410;0.1446,0.5282;0.3220,False,,,False,False,False,,,,,,,
2026-09-11T19:34:09,28,transfer,fr5_ag95,False,159.89,0,False,,plan_no_satisfying,0.5276;0.2198,0.5123;0.3146,False,,,False,False,False,,,,,,,
2026-09-11T19:38:16,29,transfer,fr5_ag95,False,2.30,0,False,,plan_no_satisfying,0.4794;0.1628,0.4576;0.3605,False,,,False,False,False,,,,,,,
