trial,success,planning_time_sec,attempts,total_num_satisfying
1,1,26.1928,2,714
2,1,15.4325,1,755
3,1,15.2231,1,352
4,1,15.8265,1,700
5,1,15.5447,1,653
6,1,28.3918,2,723
7,1,16.2650,1,177
8,1,16.3924,1,718
9,1,19.4129,1,601
10,1,16.4928,1,673
11,1,15.7509,1,390
12,1,16.2525,1,487
13,1,16.4319,1,626
14,1,17.2626,1,710
15,1,16.7409,1,765
16,1,17.3703,1,153
17,1,16.6402,1,669
18,1,16.7053,1,693
19,1,17.0666,1,776
20,1,17.1974,1,734
21,1,15.2591,1,694
22,1,16.1808,1,757
23,1,16.6061,1,399
24,1,16.6782,1,296
25,1,16.8607,1,547
26,1,16.3322,1,777
27,1,16.7926,1,614
28,1,16.3663,1,731
29,1,28.7267,2,618
30,1,15.7400,1,642
