trial,success,planning_time_sec,attempts,total_num_satisfying
1,1,27.2986,1,613
2,1,29.3126,1,677
3,1,27.0977,1,562
4,1,28.3418,1,621
5,1,29.4630,1,651
6,1,28.0719,1,707
7,1,28.3142,1,503
8,1,28.2754,1,753
9,1,28.6503,1,578
10,1,29.4304,1,757
11,1,29.0925,1,224
12,1,28.4996,1,550
13,1,29.3691,1,743
14,1,29.6614,1,588
15,1,30.5383,1,231
16,1,28.1659,1,330
17,1,29.8183,1,552
18,1,29.5271,1,775
19,1,29.8074,1,596
20,1,28.6895,1,528
21,1,28.5706,1,676
22,1,29.9699,1,595
23,1,28.5640,1,537
24,1,26.7049,1,650
25,1,26.4530,1,631
26,1,29.8503,1,674
27,1,29.2397,1,638
28,1,29.6821,1,396
29,1,28.8593,1,564
30,1,29.6248,1,590
