trial,success,planning_time_sec,attempts,total_num_satisfying
2,1,30.6640,1,19
3,1,31.6650,1,19
4,1,31.6619,1,45
5,1,30.6106,1,12
6,1,30.5967,1,40
7,1,30.9990,1,52
8,1,31.0994,1,58
9,1,30.9132,1,26
10,1,31.5402,1,36
11,1,31.3487,1,49
12,1,30.2247,1,1
13,1,31.6245,1,22
14,1,30.9565,1,34
15,1,31.3155,1,9
16,1,32.0825,1,5
17,1,30.8468,1,32
18,1,30.7178,1,12
19,1,30.3990,1,12
20,1,30.2764,1,4
21,1,31.0245,1,22
22,1,30.0277,1,19
23,1,30.2343,1,4
24,1,31.2122,1,61
25,1,30.0002,1,21
26,1,31.3457,1,23
27,1,30.6470,1,25
28,1,30.5667,1,16
29,1,31.0330,1,3
30,1,31.3407,1,37
2026-03-22 17:58:02,1,38.2771,1,13
